Date,Open,High,Low,Close,Adj Close,Volume
2019-04-02,81.709999,81.760002,81.029999,81.139999,80.413086,1203000
2019-04-03,81.540001,82.019997,81.459999,81.940002,81.205933,2141000
2019-04-04,81.839996,82.050003,80.440002,80.830002,80.105865,2180100
2019-04-05,81.190002,81.919998,81.050003,81.470001,80.740135,1502900
2019-04-08,81.570000,81.709999,80.580002,81.690002,80.958160,783300
2019-04-09,81.559998,81.720001,81.269997,81.419998,80.690575,1254700
2019-04-10,81.449997,82.239998,81.449997,81.680000,80.948250,982900
2019-04-11,81.879997,81.919998,80.889999,81.080002,80.353630,1071500
2019-04-12,81.430000,82.059998,80.900002,80.980003,80.254524,1249300
2019-04-15,81.000000,81.129997,79.910004,80.400002,79.679726,1627300
2019-04-16,80.820000,80.959999,77.190002,77.550003,76.855247,3441500
2019-04-17,78.150002,78.320000,74.459999,75.430000,74.754250,4472000
2019-04-18,75.730003,76.540001,75.309998,76.169998,75.487617,2874100
2019-04-22,75.930000,76.720001,75.129997,75.570000,74.892982,2016000
2019-04-23,74.279999,76.800003,73.760002,75.559998,74.883080,4607100
2019-04-24,75.839996,76.629997,75.430000,75.790001,75.111023,1942700
2019-04-25,75.260002,77.040001,74.940002,76.720001,76.032692,1481400
2019-04-26,76.980003,77.459999,76.300003,77.419998,76.726418,1608900
2019-04-29,77.470001,78.440002,77.320000,77.330002,76.637222,2177700
2019-04-30,77.440002,78.589996,77.379997,78.500000,77.796745,1726200
2019-05-01,78.489998,78.919998,77.279999,77.470001,76.775963,1078600
2019-05-02,77.410004,78.339996,77.150002,78.199997,77.499428,946800
2019-05-03,78.580002,79.559998,78.580002,79.290001,78.579666,1303200
2019-05-06,77.620003,79.410004,77.209999,79.349998,78.639122,1624300
2019-05-07,78.589996,78.769997,76.029999,76.669998,75.983139,1732200
2019-05-08,76.779999,77.300003,76.129997,76.610001,75.923668,2243600
2019-05-09,75.669998,77.059998,74.849998,77.000000,76.310188,1717500
2019-05-10,76.639999,77.139999,74.089996,77.099998,76.409286,2849800
2019-05-13,75.750000,75.910004,73.230003,73.839996,73.178482,3547300
